FinnishName;ScientificName;type_of_occurrence;status;authority_status;synonyms
peikonmalja;Ionomidotis irregularis;;EN (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  Metsaisten suojelualueiden konnektiviteetti ? SUMI-hankkeessa 2020 laadittu metsalajiluettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);
sininappio;Mniaecia jungermanniae;Harvinainen;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Metsaisten suojelualueiden konnektiviteetti ? SUMI-hankkeessa 2020 laadittu metsalajiluettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
rusomaljakas;Leucoscypha ovilloides;;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Metsaisten suojelualueiden konnektiviteetti ? SUMI-hankkeessa 2020 laadittu metsalajiluettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);Rhodoscypha ovilla (Peck) Dissing & Sivertsen
tuhatheltta;Baeospora myriadophylla;;EN (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);
salonaapikka;Galerina pruinatipes;;EN (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);
seitarisakas;Inocybe diabolica;;EN (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);
lettorisakas;Inocybe hirculus;;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Aapasuolajit ? SUMI-hankkeessa 2020 laadittu uhanalaisten tai silmallapidettavien aapasuolajien luettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
purorisakas;Inocybe multicoronata;;CR (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);
lettotuhkelo;Bovista paludosa;;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  Aapasuolajit ? SUMI-hankkeessa 2020 laadittu uhanalaisten tai silmallapidettavien aapasuolajien luettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);Bovistella paludosa (L‚v.) Lloyd
oranssihiippo;Mycena oregonensis;;NT (2019);Metsaisten suojelualueiden konnektiviteetti ? SUMI-hankkeessa 2020 laadittu metsalajiluettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Alueellisesti uhanalainen 2020 - 1b Hemiboreaalinen  Lounainen rannikkomaa  Alueellisesti uhanalainen 2020 - 3a Keskiboreaalinen  Pohjanmaa  Alueellisesti uhanalainen 2020 - 3c Keskiboreaalinen  Lapin kolmio  Alueellisesti uhanalainen 2020 - 4b Pohjoisboreaalinen  Pera-Pohjola  Alueellisesti uhanalainen 2020 - 4d Pohjoisboreaalinen  Tunturi-Lappi;
myytikka;Mythicomyces corneipes;;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
kostikka;Stagnicola perplexa;;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;
punarusokas;Entoloma queletii;;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Metsaisten suojelualueiden konnektiviteetti ? SUMI-hankkeessa 2020 laadittu metsalajiluettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
lettorikonkeltaruoste;Melampsora hirculi;;NT (2000);VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
tummatupsunauha;Batrachospermum atrum;Vakiintunut;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;
kaunotupsunauha;Batrachospermum elegans;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023);
tankeatupsunauha;Batrachospermum keratophytum;Vakiintunut;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;
helmisyheronauha;Kumanoa globospora;Vakiintunut;EN (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023);Batrachospermum globosporum Israelson
lehosyheronauha;Kumanoa virgato-decaisneana;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023);Batrachospermum virgato-decaisneanum Sirodot
kalkkisamettinauha;Sheathia boryana;Vakiintunut;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;Batrachospermum boryanum Sirodot
rustonauha;Tuomeya americana;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023);Tuomeya fluviatilis Harvey
helmitupsunauha;Virescentia helminthosa;Vakiintunut;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;Batrachospermum helminthosum Bory  Batrachospermum virgatum Sirodot
suotupsunauha;Virescentia vogesiaca;Vakiintunut;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;Batrachospermum vogesiacum Schulz ex Skuja
nyppyharjaslevä;Lemanea mamillosa;Vakiintunut;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;
jäyhäharjaslevä;Lemanea rigida;Vakiintunut;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;
tummahelmilevä;Ceramium virgatum;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6);Ceramium nodulosum (Lightfoot) Ducluzeau
takkupunahuiska;Rhodomela confervoides;Vakiintunut;NT (2019);nan;
puropunakalvo;Hildenbrandia rivularis;Vakiintunut;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;
silonäkinparta;Chara braunii;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);Chara coronata J.B.Ziz ex G.W.Bischoff
harmaanäkinparta;Chara contraria;Havinnyt;CR (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023);
piikkinäkinparta;Chara horrida;Vakiintunut;EN (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
kalkkinäkinparta;Chara papillosa;Vakiintunut;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;Chara intermedia A.Braun
pohjannäkinparta;Chara strigosa;Vakiintunut;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;
kalvassiloparta;Nitella hyalina;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
tummasiloparta;Nitella confervacea;Vakiintunut;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;Nitella batrachosperma C.Agardh  Nitella nordstedtiana H.Groves & J.Groves
hentosiloparta;Nitella gracilis;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
tähtimukulaparta;Nitellopsis obtusa;Vakiintunut;NT (2019);VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
tunturisykeröparta;Tolypella canadensis;Vakiintunut;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;
kalkkilähdesammal;Philonotis calcarea;Vakiintunut;EN (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  Kiireellisesti suojeltavat lajit (SYKE 2020)  VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Aapasuolajit ? SUMI-hankkeessa 2020 laadittu uhanalaisten tai silmallapidettavien aapasuolajien luettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);
nipponinlähdesammal;Philonotis yezoana;;CR (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6);
kosteikkohiirensammal;Ptychostomum cernuum;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6);Bryum uliginosum (Brid.) Bruch & Schimp.  Bryum cernuum (Brid.) Bruch & Schimp.
paljakkalehväsammal;Mnium blyttii;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6);
purolehväsammal;Mnium lycopodioides;Vakiintunut;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Alueellisesti uhanalainen 2020 - 2b Etelaboreaalinen  Jarvi-Suomi  Alueellisesti uhanalainen 2020 - 3a Keskiboreaalinen  Pohjanmaa  Alueellisesti uhanalainen 2020 - 3b Keskiboreaalinen  Pohjois-Karjala?Kainuu  Alueellisesti uhanalainen 2020 - 3c Keskiboreaalinen  Lapin kolmio  Alueellisesti uhanalainen 2020 - 4c Pohjoisboreaalinen  Metsa-Lappi  Alueellisesti uhanalainen 2020 - 4d Pohjoisboreaalinen  Tunturi-Lappi;
idanlehväsammal;Plagiomnium drummondii;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  Koko maassa rauhoitetut kasvilajit (LSA 2023/1066  liite 3)  EU:n luontodirektiivin II-liite  EU:n luontodirektiivin liite II  Suomen Natura-lajit  Kiireellisesti suojeltavat lajit (SYKE 2020)  VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Metsaisten suojelualueiden konnektiviteetti ? SUMI-hankkeessa 2020 laadittu metsalajiluettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);Orthomnion drummondii (Bruch & Schimp.) T.J.Kop. & Yu Sun
rantavakasammal;Campyliadelphus elodes;Vakiintunut;NT (2019);VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Alueellisesti uhanalainen 2020 - 1b Hemiboreaalinen  Lounainen rannikkomaa  Alueellisesti uhanalainen 2020 - 2a Etelaboreaalinen  Lounaismaa ja Pohjanmaan rannikko  Alueellisesti uhanalainen 2020 - 2b Etelaboreaalinen  Jarvi-Suomi  Alueellisesti uhanalainen 2020 - 3b Keskiboreaalinen  Pohjois-Karjala?Kainuu  Alueellisesti uhanalainen 2020 - 3c Keskiboreaalinen  Lapin kolmio  Alueellisesti uhanalainen 2020 - 4b Pohjoisboreaalinen  Pera-Pohjola  Alueellisesti uhanalainen 2020 - 4c Pohjoisboreaalinen  Metsa-Lappi  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);Kandaea elodes (Lindb.) Jan Ku?era & Hedenas  Campylium elodes (Lindb.) Kindb.
pohjanvakasammal;Campylium laxifolium;Vakiintunut;EN (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  Kiireellisesti suojeltavat lajit (SYKE 2020)  VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Aapasuolajit ? SUMI-hankkeessa 2020 laadittu uhanalaisten tai silmallapidettavien aapasuolajien luettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);
puroharasammal;Campylophyllum montanum;Vakiintunut;CR (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  EU:n luontodirektiivin II-liite  Kiireellisesti suojeltavat lajit (SYKE 2020)  VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);Hygrohypnum montanum (Lindb.) Broth.
sirohuurresammal;Cratoneuron filicinum;Vakiintunut;NT (2019);Aapasuolajit ? SUMI-hankkeessa 2020 laadittu uhanalaisten tai silmallapidettavien aapasuolajien luettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Alueellisesti uhanalainen 2020 - 2a Etelaboreaalinen  Lounaismaa ja Pohjanmaan rannikko  Alueellisesti uhanalainen 2020 - 2b Etelaboreaalinen  Jarvi-Suomi  Alueellisesti uhanalainen 2020 - 3a Keskiboreaalinen  Pohjanmaa  Alueellisesti uhanalainen 2020 - 3b Keskiboreaalinen  Pohjois-Karjala?Kainuu  Alueellisesti uhanalainen 2020 - 4c Pohjoisboreaalinen  Metsa-Lappi  Alueellisesti uhanalainen 2020 - 4d Pohjoisboreaalinen  Tunturi-Lappi;
pohjanjalosammal;Drepanocladus angustifolius;Vakiintunut;NT (2019);VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Alueellisesti uhanalainen 2020 - 4a Pohjoisboreaalinen  Koillismaa  Alueellisesti uhanalainen 2020 - 4b Pohjoisboreaalinen  Pera-Pohjola  Alueellisesti uhanalainen 2020 - 4d Pohjoisboreaalinen  Tunturi-Lappi  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);Pseudocalliergon angustifolium Hedenas  Pseudo-calliergon angustifolium Hedenas
kalkkijalosammal;Drepanocladus lycopodioides;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  Kiireellisesti suojeltavat lajit (SYKE 2020)  VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Aapasuolajit ? SUMI-hankkeessa 2020 laadittu uhanalaisten tai silmallapidettavien aapasuolajien luettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);Pseudocalliergon lycopodioides (Brid.) Hedenas  Pseudo-calliergon lycopodioides (Brid.) Hedenas
kalkkisirppisammal;Drepanocladus sendtneri;Vakiintunut;EN (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  Aapasuolajit ? SUMI-hankkeessa 2020 laadittu uhanalaisten tai silmallapidettavien aapasuolajien luettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);
lännenjalosammal;Drepanocladus turgescens;Vakiintunut;EN (2019);VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);Pseudocalliergon turgescens (T.Jensen) Loeske  Pseudo-calliergon turgescens (T.Jensen) Loeske
suippusammakonsammal;Hygroamblystegium tenax;Vakiintunut;EN (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  Kiireellisesti suojeltavat lajit (SYKE 2020)  VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);Amblystegium tenax (Hedw.) C.E.O.Jensen
kalkkihuurresammal;Palustriella commutata;Vakiintunut;EN (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  Kiireellisesti suojeltavat lajit (SYKE 2020)  VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);
pohjanhuurresammal;Palustriella decipiens;Vakiintunut;NT (2019);VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Alueellisesti uhanalainen 2020 - 1a Hemiboreaalinen  Ahvenanmaa  Alueellisesti uhanalainen 2020 - 2a Etelaboreaalinen  Lounaismaa ja Pohjanmaan rannikko  Alueellisesti uhanalainen 2020 - 2b Etelaboreaalinen  Jarvi-Suomi  Alueellisesti uhanalainen 2020 - 3a Keskiboreaalinen  Pohjanmaa  Alueellisesti uhanalainen 2020 - 3b Keskiboreaalinen  Pohjois-Karjala?Kainuu  Alueellisesti uhanalainen 2020 - 3c Keskiboreaalinen  Lapin kolmio;
sirppihuurresammal;Palustriella falcata;Vakiintunut;NT (2019);VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Aapasuolajit ? SUMI-hankkeessa 2020 laadittu uhanalaisten tai silmallapidettavien aapasuolajien luettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Alueellisesti uhanalainen 2020 - 1a Hemiboreaalinen  Ahvenanmaa  Alueellisesti uhanalainen 2020 - 2a Etelaboreaalinen  Lounaismaa ja Pohjanmaan rannikko  Alueellisesti uhanalainen 2020 - 2b Etelaboreaalinen  Jarvi-Suomi  Alueellisesti uhanalainen 2020 - 3a Keskiboreaalinen  Pohjanmaa  Alueellisesti uhanalainen 2020 - 3b Keskiboreaalinen  Pohjois-Karjala?Kainuu  Alueellisesti uhanalainen 2020 - 4c Pohjoisboreaalinen  Metsa-Lappi;Palustriella pluristratosa M.Stech & J.- P.Frahm
rusopurosammal;Platyhypnum cochlearifolium;Vakiintunut;EN (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);Hygrohypnum cochlearifolium (Venturi) Broth.
lapinpurosammal;Platyhypnum molle;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6);Hygrohypnum molle (Hedw.) Loeske
pikkupurosammal;Platyhypnum norvegicum;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);Hygrohypnum norvegicum (Schimp.) J.J.Amann
